1717244971.0,2045,7.85,-30.4,0.1,3.14159
1717244972.0,2045,7.55,-29.95,0.54083,2.1588
1717244973.0,2045,7.15,-29.75,0.44721,2.67795
1717244974.0,2045,7.15,-29.75,0.0,0.0
1717244975.0,2045,7.15,-29.75,0.0,0.0
1717244976.0,2045,7.15,-29.75,0.0,0.0
1717244977.0,2045,7.1,-29.7,0.07071,2.35619
1717244978.0,2045,7.1,-29.7,0.0,0.0
1717244979.0,2045,7.1,-29.7,0.0,0.0
1717244980.0,2045,6.95,-29.75,0.15811,3.46334
1717244981.0,2045,6.5,-29.7,0.45277,3.03094
1717244982.0,2045,5.7,-29.8,0.80623,3.26595
1717244983.0,2045,4.85,-30.0,0.87321,3.37268
1717244984.0,2045,4.3,-30.15,0.57009,3.40784
1717244985.0,2045,3.5,-30.25,0.80623,3.26595
1717244986.0,2045,2.55,-30.15,0.95525,3.03672
1717244987.0,2045,2.15,-30.2,0.40311,3.26595
1717244988.0,2045,2.4,-29.8,0.4717,1.0122
1717244989.0,2045,2.65,-29.3,0.55902,1.10715
1717244990.0,2045,2.9,-29.25,0.25495,0.1974
1717244991.0,2045,2.9,-29.25,0.0,0.0
1717244992.0,2045,2.9,-29.2,0.05,1.5708
1717244993.0,2045,2.9,-29.25,0.05,4.71239
1717244994.0,2045,3.1,-29.3,0.20616,6.03821
1717244995.0,2045,3.55,-29.2,0.46098,0.21867
1717244996.0,2045,4.05,-29.2,0.5,0.0
1717244997.0,2045,4.45,-29.25,0.40311,6.15883
1717244998.0,2045,4.55,-29.25,0.1,0.0
1717244999.0,2045,4.55,-29.25,0.0,0.0
1717245000.0,2045,4.55,-29.25,0.0,0.0
1717245001.0,2045,4.55,-29.25,0.0,0.0
1717245002.0,2045,5.2,-29.55,0.71589,5.85078
1717245003.0,2045,5.65,-29.6,0.45277,6.17253
1717245004.0,2045,5.8,-29.8,0.25,5.35589
1717245005.0,2045,5.8,-29.8,0.0,0.0
1717245006.0,2045,5.8,-29.8,0.0,0.0
1717245007.0,2045,5.8,-29.8,0.0,0.0
1717245008.0,2045,5.55,-29.35,0.51478,2.07789
1717245009.0,2045,5.4,-28.6,0.76485,1.76819
1717245010.0,2045,5.35,-28.0,0.60208,1.65394
1717245011.0,2045,5.4,-27.95,0.07071,0.7854
1717245012.0,2045,5.4,-27.95,0.0,0.0
1717245013.0,2045,5.45,-27.9,0.07071,0.7854
1717245014.0,2045,5.45,-27.9,0.0,0.0
1717245015.0,2045,5.45,-27.95,0.05,4.71239
1717245016.0,2045,5.45,-27.9,0.05,1.5708
1717245017.0,2045,5.5,-27.65,0.25495,1.3734
1717245018.0,2045,5.45,-27.95,0.30414,4.54724
1717245019.0,2045,5.45,-27.65,0.3,1.5708
1717245020.0,2045,5.35,-27.9,0.26926,4.33188
1717245021.0,2045,5.45,-27.75,0.18028,0.98279
1717245022.0,2045,5.45,-27.75,0.0,0.0
1717245023.0,2045,5.45,-27.85,0.1,4.71239
1717245024.0,2045,5.45,-27.8,0.05,1.5708
1717245025.0,2045,5.45,-27.8,0.0,0.0
1717245026.0,2045,5.45,-27.8,0.0,0.0
1717245027.0,2045,5.45,-27.7,0.1,1.5708
1717245028.0,2045,8.15,-27.55,2.70416,0.0555
1717245029.0,2045,7.7,-27.95,0.60208,3.86823
1717245030.0,2045,7.05,-28.5,0.85147,3.84385
1717245031.0,2045,6.55,-29.05,0.7433,3.97457
1717245032.0,2045,6.1,-29.55,0.67268,3.97957
1717245033.0,2045,5.65,-29.95,0.60208,3.86823
1717245034.0,2045,5.3,-30.45,0.61033,4.10166
1717245035.0,2045,5.0,-30.85,0.5,4.06889
1717245036.0,2045,4.75,-31.2,0.43012,4.09214
1717245037.0,2045,4.1,-31.7,0.82006,3.79729
1717245038.0,2045,3.35,-31.85,0.76485,3.33899
1717245477.0,2625,10.1,-27.9,0.20616,4.46741
1717245478.0,2625,10.05,-27.8,0.1118,2.03444
1717245479.0,2625,9.85,-27.9,0.22361,3.60524
1717245480.0,2625,9.2,-28.15,0.69642,3.50877
1717245481.0,2625,8.3,-28.3,0.91241,3.30674
1717245482.0,2625,7.4,-28.1,0.92195,2.92292
1717245483.0,2625,6.7,-28.0,0.70711,2.9997
1717245484.0,2625,5.95,-28.0,0.75,3.14159
1717245485.0,2625,5.15,-28.05,0.80156,3.20401
1717245486.0,2625,4.55,-27.7,0.69462,2.61352
1717245487.0,2625,4.05,-27.5,0.53852,2.76109
1717245488.0,2625,3.65,-27.1,0.56569,2.35619
1717245489.0,2625,3.55,-27.1,0.1,3.14159
1717245490.0,2625,3.55,-27.1,0.0,0.0
1717245491.0,2625,3.7,-27.15,0.15811,5.96143
1717245492.0,2625,4.0,-27.05,0.31623,0.32175
1717245493.0,2625,4.2,-27.05,0.2,0.0
1717245494.0,2625,1.5,-26.15,2.84605,2.81984
1717245495.0,2625,0.65,-25.7,0.96177,2.65469
1717245496.0,2625,0.45,-25.55,0.25,2.49809
1717245497.0,2625,0.4,-25.55,0.05,3.14159
1717245498.0,2625,0.45,-25.55,0.05,0.0
1717245499.0,2625,0.7,-25.8,0.35355,5.49779
1717245500.0,2625,1.35,-26.4,0.88459,5.53777
1717245501.0,2625,2.0,-26.9,0.82006,5.62749
1717245502.0,2625,2.85,-27.6,1.10114,5.59426
1717245503.0,2625,3.5,-27.9,0.71589,5.85078
1717245504.0,2625,4.55,-28.3,1.12361,5.91921
1717245505.0,2625,5.45,-28.55,0.93408,6.01224
1717245506.0,2625,6.5,-28.75,1.06888,6.09496
1717245507.0,2625,7.45,-28.8,0.95131,6.2306
1717245508.0,2625,8.55,-28.75,1.10114,0.04542
1717245509.0,2625,9.3,-28.65,0.75664,0.13255
1717245510.0,2625,9.05,-27.4,1.27475,1.76819
1717245931.0,3171,20.5,1.85,0.61847,2.89661
1717245932.0,3171,19.85,1.85,0.65,3.14159
1717245933.0,3171,19.25,1.8,0.60208,3.22473
1717245934.0,3171,18.75,1.9,0.5099,2.9442
1717245935.0,3171,18.0,1.9,0.75,3.14159
1717245936.0,3171,17.65,1.7,0.40311,3.66074
1717245937.0,3171,17.25,1.6,0.41231,3.38657
1717245938.0,3171,16.9,1.45,0.38079,3.54648
1717245939.0,3171,16.75,1.5,0.15811,2.81984
1717245940.0,3171,16.75,1.5,0.0,0.0
1717245941.0,3171,16.75,1.5,0.0,0.0
1717245942.0,3171,16.75,1.5,0.0,0.0
1717245943.0,3171,16.75,1.5,0.0,0.0
1717245944.0,3171,16.75,1.5,0.0,0.0
1717245945.0,3171,16.75,1.3,0.2,4.71239
1717245946.0,3171,16.9,0.95,0.38079,5.11728
1717245947.0,3171,19.2,1.75,2.43516,0.33474
1717245948.0,3171,19.2,1.85,0.1,1.5708
1717245949.0,3171,19.15,1.85,0.05,3.14159
1717245950.0,3171,18.85,1.9,0.30414,2.97644
1717245951.0,3171,18.25,2.1,0.63246,2.81984
1717245952.0,3171,17.95,1.85,0.39051,3.83633
1717245953.0,3171,17.55,1.3,0.68007,4.08359
1717245954.0,3171,17.45,0.8,0.5099,4.51499
1717245955.0,3171,17.4,0.4,0.40311,4.58803
1717245956.0,3171,17.45,0.3,0.1118,5.17604
1717245957.0,3171,17.45,0.3,0.0,0.0
1717245958.0,3171,17.45,0.3,0.0,0.0
1717245959.0,3171,17.4,0.25,0.07071,3.92699
1717245960.0,3171,17.5,0.05,0.22361,5.17604
1717245961.0,3171,17.75,-0.25,0.39051,5.40713
1717245962.0,3171,18.15,-0.5,0.4717,5.72459
1717245963.0,3171,18.4,-0.85,0.43012,5.33264
1717245964.0,3171,18.6,-1.1,0.32016,5.38713
1717245965.0,3171,18.8,-1.6,0.53852,5.0929
1717245966.0,3171,18.9,-1.5,0.14142,0.7854
1717245967.0,3171,18.9,-1.5,0.0,0.0
1717245968.0,3171,18.9,-1.45,0.05,1.5708
1717245969.0,3171,18.35,-1.55,0.55902,3.32145
1717245970.0,3171,17.95,-1.05,0.64031,2.24554
1717246143.0,3583,10.35,-33.0,0.64031,2.46685
1717246144.0,3583,9.95,-32.55,0.60208,2.29744
1717246145.0,3583,9.55,-32.1,0.60208,2.29744
1717246146.0,3583,9.15,-31.65,0.60208,2.29744
1717246147.0,3583,8.9,-31.5,0.29155,2.60117
1717246148.0,3583,8.7,-31.35,0.25,2.49809
1717246149.0,3583,8.65,-31.3,0.07071,2.35619
1717246150.0,3583,8.6,-31.35,0.07071,3.92699
1717246151.0,3583,8.3,-31.45,0.31623,3.46334
1717246152.0,3583,7.8,-31.35,0.5099,2.9442
1717246153.0,3583,7.25,-31.25,0.55902,2.96174
1717246154.0,3583,6.65,-31.15,0.60828,2.97644
1717246155.0,3583,6.1,-31.1,0.55227,3.05093
1717246156.0,3583,5.6,-31.0,0.5099,2.9442
1717246157.0,3583,5.1,-31.05,0.50249,3.24126
1717246158.0,3583,4.7,-31.0,0.40311,3.01724
1717246159.0,3583,4.35,-31.25,0.43012,3.76184
1717246160.0,3583,4.15,-31.5,0.32016,4.03765
1717246161.0,3583,4.0,-31.7,0.25,4.06889
1717246162.0,3583,4.0,-31.6,0.1,1.5708
1717246163.0,3583,3.6,-31.45,0.4272,2.78282
1717246164.0,3583,3.15,-31.5,0.45277,3.25225
1717246165.0,3583,2.75,-31.45,0.40311,3.01724
1717246166.0,3583,2.5,-31.2,0.35355,2.35619
1717246167.0,3583,2.3,-30.85,0.40311,2.08994
1717246168.0,3583,2.05,-30.35,0.55902,2.03444
1717246169.0,3583,2.0,-30.05,0.30414,1.73595
1717246170.0,3583,1.95,-29.8,0.25495,1.76819
1717246171.0,3583,1.95,-29.45,0.35,1.5708
