-1.0,-5.0,0.12216,4.67022,0.00211,-0.0015,-0.0015,0.01167,0.34135,22
-1.0,-5.0,0.09543,1.23693,0.00503,0.04071,0.04071,1.51355,0.65865,22
-1.0,-4.0,0.13374,1.942,0.0035,0.00406,0.00406,1.34749,0.75,13
-1.0,-4.0,0.0706,4.86667,0.00085,0.00637,0.00637,0.04784,0.25,13
-1.0,-3.0,0.56846,5.758,0.05143,0.02745,0.02745,0.01883,1.0,7
-1.0,-2.0,0.44441,5.689,0.00167,-0.00182,-0.00182,0.0029,1.0,9
0.0,-31.0,0.59484,3.27955,0.02773,-0.01491,-0.01491,0.07888,0.61286,18
0.0,-31.0,0.29278,5.325,0.02202,0.1004,0.1004,0.89776,0.38714,18
0.0,-30.0,0.43934,3.54419,0.04921,-0.05636,-0.05636,0.63372,0.73584,34
0.0,-30.0,0.1744,0.13132,0.03581,0.01803,0.01803,0.12492,0.26416,34
0.0,-28.0,0.02828,0.314,0.0012,0.01332,0.01332,0.14789,0.5,12
0.0,-28.0,0.0865,4.3336,0.00052,-0.00312,-0.00312,0.22515,0.5,12
0.0,-5.0,0.66425,3.19145,0.09759,-0.92126,-0.92126,8.96642,0.15581,65
0.0,-5.0,0.10487,5.44736,0.00533,-0.06655,-0.06655,2.89264,0.84419,65
0.0,-4.0,0.07838,2.27289,0.00455,0.14286,0.14286,6.30507,0.80659,91
0.0,-4.0,0.5916,3.386,0.11955,-0.37459,-0.37459,3.78899,0.19341,91
0.0,-3.0,0.31411,5.58667,0.0868,-0.04903,-0.04903,0.27773,1.0,22
0.0,-2.0,0.74467,5.74002,0.06047,0.0411,0.0411,0.11031,1.0,12
0.0,-1.0,0.91388,3.40467,0.02733,-0.00413,-0.00413,0.00062,1.0,6
1.0,-31.0,0.14894,6.20997,0.05368,-0.02738,-0.02738,0.01407,0.31091,41
1.0,-31.0,0.33219,4.48786,0.04169,-0.11992,-0.11992,2.33551,0.68909,41
1.0,-30.0,0.01768,6.0869,0.00094,-0.01041,-0.01041,0.11559,0.22727,88
1.0,-30.0,0.33682,4.20536,0.06548,-0.0043,-0.0043,3.15583,0.77273,88
1.0,-29.0,0.1706,0.2638,0.05981,0.07454,0.07454,0.27821,0.43481,51
1.0,-29.0,0.37799,4.5745,0.15514,-0.25232,-0.25232,0.50719,0.29683,51
1.0,-29.0,0.33812,2.97026,0.13513,0.17979,0.17979,0.6732,0.26837,51
1.0,-28.0,0.17572,5.19211,0.0323,-0.11087,-0.11087,1.91124,1.0,55
1.0,-27.0,0.22807,4.92689,0.04919,-0.22533,-0.22533,2.89403,1.0,54
1.0,-26.0,0.42483,2.28182,0.03545,0.00355,0.00355,0.09603,0.54992,20
1.0,-26.0,0.19886,5.49232,0.04601,-0.03916,-0.03916,0.37477,0.45008,20
1.0,-6.0,0.26271,4.67183,0.04557,-0.03454,-0.03454,0.3018,1.0,10
